Daten des buergeramts
 Name des buergeramts	sadasd
öffnungszeit des buergeramts:	 21.0 32.0
Straße und Hausnummer des buergeramts:	qweqwe 22
Dienstleistungen des buergeramts:	[Ljava.lang.String;@4c5f8d0bDaten des buergeramts
 Name des buergeramts	sasdasdc
öffnungszeit des buergeramts:	 12.0 23.0
Straße und Hausnummer des buergeramts:	asdasd
Dienstleistungen des buergeramts:	[Ljava.lang.String;@14aebbecDaten des buergeramts
 Name des buergeramts	sasdasdc
öffnungszeit des buergeramts:	 13.0 23.0
Straße und Hausnummer des buergeramts:	asdasd
Dienstleistungen des buergeramts:	[Ljava.lang.String;@24e5559a
